Cluster,Penetration,Monkey Name,Effect Size,Layers,Baseline Classification,Evoked Classification,Baseline p-value,Evoked p-value,Baseline High Firing Rate,Baseline Low Firing Rate,Evoked High Firing Rate,Evoked Low Firing Rate
1,2024-04-17,Sansa,1.267379679144385,,up,up,0.03559758972177921,0.00028641072727842636,2.3974358974358974,1.7820512820512822,6.076923076923077,4.794871794871795
23,2024-04-17,Sansa,1.8664343786295006,,up,up,0.004613150321993486,2.4244227067500925e-13,1.3333333333333333,0.6666666666666666,20.602564102564102,11.038461538461538
28,2024-04-17,Sansa,1.5263509006004001,,no effect,up,0.1778697248221832,2.254001800690927e-08,0.7692307692307693,1.2179487179487178,29.333333333333332,19.21794871794872
43,2024-04-17,Sansa,1.5448613376835236,,no effect,up,0.1254663592674695,1.907835860456241e-05,0.3974358974358974,0.7307692307692307,12.14102564102564,7.858974358974359
48,2024-04-17,Sansa,1.3770491803278688,,no effect,up,0.3074753570123267,0.026734542788954475,0.6153846153846154,0.47435897435897434,2.1538461538461537,1.564102564102564
79,2024-04-17,Sansa,1.2835051546391754,,down,up,0.0053460390606039155,0.0006868616864348045,0.782051282051282,1.6794871794871795,12.76923076923077,9.948717948717949
106,2024-04-17,Sansa,1.3164556962025316,,down,up,0.0012314374523875796,0.04528096264685952,0.5,1.2435897435897436,2.6666666666666665,2.0256410256410255
107,2024-04-17,Sansa,1.042483660130719,,down,no effect,0.008112530260547764,0.6934931512129123,1.8974358974358974,2.782051282051282,4.089743589743589,3.923076923076923
108,2024-04-17,Sansa,1.1422018348623855,,down,no effect,0.0003415701418704843,0.4798987461601859,0.9230769230769231,2.051282051282051,3.1923076923076925,2.7948717948717947
109,2024-04-17,Sansa,1.0297619047619049,,down,no effect,0.00043590215991273724,0.7819216076450299,1.5256410256410255,3.0,4.435897435897436,4.3076923076923075
112,2024-04-17,Sansa,1.1329787234042554,,down,no effect,0.0026572260940846545,0.2833016877738905,0.7435897435897436,1.4102564102564104,2.730769230769231,2.41025641025641
114,2024-04-17,Sansa,1.2311320754716981,,no effect,no effect,0.19003019457650835,0.07147368369934126,1.5897435897435896,1.9487179487179487,3.3461538461538463,2.717948717948718
115,2024-04-17,Sansa,1.37196261682243,,up,up,0.0011804139556097228,0.02935389507291531,6.615384615384615,3.91025641025641,9.41025641025641,6.858974358974359
116,2024-04-17,Sansa,1.0380549682875264,,down,no effect,0.0038564049668265445,0.6698581835986146,2.730769230769231,4.012820512820513,6.294871794871795,6.064102564102564
117,2024-04-17,Sansa,1.227353463587922,,down,up,0.0005783721368141833,0.008602275889874628,0.8076923076923077,2.08974358974359,8.85897435897436,7.217948717948718
124,2024-04-17,Sansa,1.1618398637137988,,no effect,no effect,0.15672089748629095,0.10103578266219729,0.6923076923076923,1.3846153846153846,8.743589743589743,7.5256410256410255
130,2024-04-17,Sansa,1.1477104874446087,,up,no effect,0.021792186424534506,0.06603233312501262,3.0641025641025643,2.128205128205128,9.961538461538462,8.679487179487179
137,2024-04-17,Sansa,1.0107913669064748,,no effect,no effect,0.4739727022917961,0.917626310537268,1.5384615384615385,1.7435897435897436,3.6025641025641026,3.5641025641025643
138,2024-04-17,Sansa,1.2239747634069402,,no effect,up,0.18585065653537822,0.02569419184008305,2.0641025641025643,1.641025641025641,4.9743589743589745,4.064102564102564
143,2024-04-17,Sansa,1.1812080536912752,,no effect,up,0.06327115402150855,0.04201440196931619,1.8205128205128205,1.2435897435897436,6.769230769230769,5.730769230769231
145,2024-04-17,Sansa,1.2185792349726776,,no effect,no effect,0.6718289569991613,0.08017632975244836,0.6410256410256411,0.5769230769230769,2.858974358974359,2.3461538461538463
153,2024-04-17,Sansa,1.6814814814814814,,no effect,up,0.06711465982950712,1.2336707594936602e-07,1.5,1.1538461538461537,5.82051282051282,3.4615384615384617
165,2024-04-17,Sansa,1.1111111111111112,,no effect,no effect,0.47287419242486284,0.26802992670557235,1.6025641025641026,1.8333333333333333,4.358974358974359,3.923076923076923
168,2024-04-17,Sansa,0.910411622276029,,down,no effect,5.487049938067648e-06,0.354953234520745,2.641025641025641,5.294871794871795,4.82051282051282,5.294871794871795
176,2024-04-17,Sansa,1.193288590604027,,no effect,up,0.2720333286520369,0.011027190835634486,7.756410256410256,7.256410256410256,11.397435897435898,9.551282051282051
194,2024-04-17,Sansa,2.2762237762237763,,no effect,up,0.1743783589180634,6.561653877309023e-08,0.3974358974358974,0.5769230769230769,8.346153846153847,3.6666666666666665
197,2024-04-17,Sansa,1.3117505995203838,,up,up,0.009787211244499824,0.00798805926823287,4.5,3.1666666666666665,7.012820512820513,5.346153846153846
199,2024-04-17,Sansa,1.9916317991631796,,no effect,up,0.06858629037168536,2.3486022099442187e-12,3.230769230769231,2.628205128205128,12.205128205128204,6.128205128205129
212,2024-04-17,Sansa,1.7620967741935485,,no effect,up,0.11875584439374075,1.0773688608228666e-06,2.8846153846153846,2.41025641025641,5.602564102564102,3.1794871794871793
213,2024-04-17,Sansa,1.2080924855491328,,down,up,2.5132969891841427e-05,0.04200991179932226,3.8205128205128207,6.076923076923077,8.038461538461538,6.653846153846154
218,2024-04-17,Sansa,1.2908163265306123,,no effect,up,0.131144495482733,0.0020504277539784613,2.230769230769231,2.7948717948717947,6.487179487179487,5.0256410256410255
222,2024-04-17,Sansa,2.147286821705426,,no effect,up,0.12025569689260658,2.495992087257595e-09,2.128205128205128,1.5128205128205128,7.102564102564102,3.3076923076923075
